100 8000 100
580 1127 3624 3610
271 591 3610 2549
1052 455 2549 1500
222 1423 1500 4758
1165 896 4758 383
417 42 383 3818
38 275 3818 5449
814 785 5449 2239
304 1206 2239 3068
1030 302 3068 5631
263 432 5631 4040
703 440 4040 4282
391 1038 4282 2558
851 1151 2558 2415
59 77 2415 2440
1114 504 2440 520
132 1402 520 2604
703 732 2604 1514
754 382 1514 5363
1134 643 5363 3911
411 232 3911 3048
571 539 3048 1851
1145 192 1851 1522
144 1063 1522 2340
745 945 2340 4703
1212 1010 4703 2316
1304 559 2316 4563
821 369 4563 5220
6 361 5220 4780
1066 395 4780 2221
813 260 2221 196
586 562 196 5442
1337 985 5442 4770
425 188 4770 4448
680 970 4448 4500
934 441 4500 5153
842 179 5153 5319
719 662 5319 1301
180 708 1301 4444
1019 750 4444 2687
181 1251 2687 1232
444 1274 1232 5536
282 329 5536 4021
444 659 4021 842
1295 99 842 5003
341 494 5003 3513
1431 939 3513 4115
1428 1148 4115 1907
916 944 1907 5028
745 370 5028 3778
994 278 3778 119
1327 929 119 2376
1189 217 2376 2681
700 491 2681 1641
31 1089 1641 1768
494 523 1768 1685
344 1140 1685 1009
1336 1271 1009 632
1187 643 632 3957
222 675 3957 2841
834 339 2841 5605
560 562 5605 1205
809 507 1205 2583
731 906 2583 4675
857 787 4675 5653
1361 222 5653 4136
97 425 4136 1181
132 306 1181 5272
512 814 5272 5437
277 575 5437 2677
1151 1048 2677 5012
693 163 5012 3722
721 847 3722 2514
1305 942 2514 3333
1010 931 3333 4564
577 871 4564 1817
79 283 1817 1147
1001 1042 1147 31
437 702 31 777
995 1010 777 3227
178 1132 3227 3809
1431 467 3809 3648
883 242 3648 2655
1367 89 2655 791
563 541 791 2341
786 1517 2341 4424
294 1285 4424 5228
779 406 5228 3350
682 913 3350 5056
41 880 5056 537
874 893 537 491
76 873 491 4961
602 749 4961 1742
243 1144 1742 126
679 336 126 988
1331 969 988 1695
164 220 1695 4262
776 400 4262 4921
23 756 4921 4020
677 726 4020 3624
1242 1125 1641 4424
684 250 4563 4675
117 488 5153 1500
296 420 2341 31
95 112 4780 2514
389 572 4675 3227
431 396 520 4448
905 950 2677 4021
668 606 5653 2415
692 132 3068 5012
170 1094 632 1147
954 572 4770 1685
377 992 5319 1742
668 240 5449 31
273 691 1522 3957
665 1159 2677 2340
172 686 2841 2687
1195 433 4021 5631
1201 232 5272 4564
544 1011 1817 5153
813 156 2841 4115
1290 562 196 5442
983 854 5653 3048
73 755 1768 5220
1305 995 4564 119
1049 1350 3911 3333
1141 317 3513 4448
1271 1094 632 1147
1298 848 5653 4262
1386 47 1301 2514
773 892 2655 4424
445 691 1685 5437
1201 1029 4424 5449
1147 1342 1232 5228
1012 606 5272 491
493 381 5056 5653
194 1234 5228 4020
1337 230 4262 1817
1195 888 2415 4703
1013 876 2376 3778
219 441 4500 5153
664 664 842 383
183 514 2221 4961
1431 348 842 2341
1214 207 2583 3818
88 281 988 5363
154 397 4448 1514
51 474 196 3513
1118 555 5003 5012
691 876 5028 2514
910 645 2341 5631
7 217 3809 1181
1147 419 4040 3648
1170 644 4262 5003
637 1235 1500 4020
597 745 3778 1514
751 651 791 5153
802 196 2440 4448
480 1211 4282 1009
1172 434 5605 196
642 778 4921 1742
521 741 777 2841
584 69 4021 3722
509 374 3778 3048
209 412 2514 2340
1047 1083 537 2316
256 941 5220 5631
302 1109 4444 1147
320 352 3333 1232
523 1073 126 2549
1396 595 31 2681
76 773 2681 5442
1420 287 4448 4563
901 1133 4921 2221
17 434 2239 1500
1395 785 5437 5003
1425 1098 1907 2514
634 787 4675 5653
1207 213 5363 491
1422 296 777 2341
