50 5000 25000
1098 160 1590 4781
1361 487 4781 4479
723 210 4479 3991
908 885 3991 3064
1387 434 3064 5524
1237 1142 5524 4832
612 703 4832 2075
704 330 2075 629
755 335 629 1451
816 875 1451 1126
993 1287 1126 3379
918 883 3379 1462
613 945 1462 1494
896 779 1494 3851
281 684 3851 2803
1290 736 2803 3237
795 376 3237 748
661 578 748 5408
799 758 5408 1914
1089 872 1914 4097
281 233 4097 5473
72 469 5473 2209
1310 899 2209 4346
873 400 4346 993
198 1137 993 3664
866 500 3664 525
45 539 525 4926
608 376 4926 3743
410 1288 3743 4069
369 498 4069 1911
426 799 1911 2385
1381 806 2385 3150
290 927 3150 3443
1021 596 3443 677
849 576 677 3267
110 637 3267 319
690 298 319 5509
21 893 5509 2394
686 644 2394 3700
5 429 3700 4012
709 681 4012 3521
240 10 3521 1380
924 376 1380 5474
1323 392 5474 5015
1008 300 5015 5231
1077 435 5231 5329
1045 176 5329 5304
363 1228 5304 3032
170 1000 3032 5038
277 617 5038 1590
221 399 1462 5015
419 812 3664 5509
1027 776 3991 1462
1325 1042 3267 4346
907 857 319 3237
157 654 2803 2394
163 716 3700 3851
959 1003 1590 3237
596 460 3443 5015
238 779 1914 5509
459 499 677 2385
878 658 1451 5408
466 357 1462 3443
223 535 5304 629
1130 550 319 993
1160 835 4781 1462
1195 656 1380 4069
714 415 5474 5231
1182 862 3743 1380
509 301 5038 3379
32 53 748 5231
475 1201 4832 3379
813 148 4097 5329
908 502 4097 3064
471 211 4832 2385
191 298 1451 5231
1258 429 4479 993
404 160 5304 4097
146 539 3664 1462
782 408 3664 629
251 505 4346 1590
598 19 4069 1494
1411 618 1590 1451
751 473 2209 3237
1222 1345 3743 5038
1413 404 3700 5015
1231 644 3521 1914
195 536 2394 3521
214 890 3237 3991
742 567 3521 1911
1302 979 3267 3991
1048 610 319 3443
629 1110 3064 3267
357 795 5304 2075
876 621 3700 5509
11 1139 4781 525
652 160 5304 4097
1173 976 1590 1126
118 176 3743 525
1268 1303 4479 1914
