100 10000 10
939 554 631 2955
555 1003 2955 5641
1364 317 5641 2175
720 869 2175 4489
1333 636 4489 2342
386 529 2342 3649
226 656 3649 550
236 85 550 4837
463 1227 4837 739
408 971 739 5187
1183 1085 5187 3043
613 827 3043 2541
710 292 2541 2390
1012 911 2390 3571
359 786 3571 2209
513 621 2209 4213
496 672 4213 2879
88 579 2879 1453
958 120 1453 3095
863 846 3095 2317
829 957 2317 457
556 756 457 4750
441 795 4750 3379
436 1203 3379 3049
145 1145 3049 2933
375 228 2933 1460
385 944 1460 3007
282 967 3007 3216
835 978 3216 5055
1084 640 5055 5232
208 441 5232 3847
206 1251 3847 2310
199 1278 2310 2226
132 852 2226 3074
926 958 3074 1099
93 289 1099 4568
390 687 4568 3776
1025 818 3776 4401
201 1278 4401 3705
854 415 3705 4515
1433 1010 4515 3888
1385 286 3888 3801
1339 1249 3801 4108
575 734 4108 3331
829 680 3331 1672
258 84 1672 618
960 731 618 1844
1326 1036 1844 1603
219 918 1603 4823
478 1032 4823 4940
749 1185 4940 972
1048 1068 972 5280
906 588 5280 1042
1062 1010 1042 1403
45 389 1403 2629
1052 95 2629 3975
1310 1323 3975 2864
302 1032 2864 2689
1206 694 2689 1491
705 651 1491 4971
1258 1067 4971 4973
1287 732 4973 1582
911 1194 1582 1499
18 1024 1499 2517
1291 1009 2517 5433
398 1202 5433 3119
111 1281 3119 593
242 568 593 1187
1295 1079 1187 3877
312 730 3877 2160
968 389 2160 5075
1288 1234 5075 1978
129 722 1978 568
867 466 568 2706
295 958 2706 702
959 1104 702 1186
1126 523 1186 5057
1127 281 5057 309
717 260 309 3595
1345 422 3595 330
38 917 330 2642
1338 91 2642 4637
825 452 4637 1733
944 182 1733 2323
961 774 2323 5664
742 874 5664 1649
428 412 1649 5012
831 622 5012 1455
916 857 1455 921
195 813 921 1338
1408 614 1338 897
735 642 897 5255
1354 222 5255 2837
879 776 2837 3414
753 952 3414 4988
1205 563 4988 257
1149 630 257 4007
736 1125 4007 3227
1319 576 3227 4134
1004 75 4134 631
724 910 2317 5012
891 821 2160 1099
579 552 4973 568
617 1033 2689 1338
121 354 4568 4988
550 668 2879 5187
617 1216 4515 1649
531 762 1603 2390
168 872 4837 309
48 879 5055 3074
895 1287 618 2629
1170 961 4637 5057
1003 1532 3414 4401
613 605 1672 257
921 830 1582 2323
531 857 1099 5641
929 373 4007 3801
623 666 3074 897
941 1169 5057 972
428 707 3649 2310
835 350 2706 5232
724 599 2642 2390
1182 1027 1978 1491
1230 838 5012 4489
894 1083 2837 3119
1008 989 3414 2955
963 1076 2864 972
726 213 2689 3776
1177 790 457 2209
201 768 2209 568
372 1058 4988 4134
717 892 4637 330
816 413 618 5280
1120 879 631 5255
806 382 4940 5664
1179 1141 4568 3847
1350 1168 2933 4515
240 1185 4971 3227
1387 1298 1649 1978
640 1304 1499 3705
799 1392 1186 3074
1191 358 2317 4213
236 1395 5057 3571
248 1097 2837 3571
145 678 2390 4213
976 1068 972 5280
136 859 897 5055
1434 516 2226 921
918 866 2390 702
1097 1060 2541 1338
831 695 2310 3095
699 936 2175 3705
113 559 2629 2879
1439 1085 3043 5187
275 1232 3043 1186
140 302 257 3007
729 474 2541 2160
1311 517 2317 3975
1298 9 1460 457
429 1099 2342 3074
88 987 4750 3119
519 747 1460 4750
1256 586 4007 5057
1419 44 3847 4515
815 962 4637 972
1434 649 3227 1844
265 1266 1453 3043
1281 1007 3095 3847
402 693 5187 2864
328 809 5055 1582
515 1218 1338 3776
1377 348 2160 1499
1226 1181 921 4971
298 1214 1460 4108
409 170 5057 1460
136 583 5280 1186
327 590 2689 3414
990 470 1733 5433
807 1120 4213 3216
442 1174 5075 739
1119 971 1491 4134
534 1165 3119 3877
954 93 4988 5187
798 1264 2955 1455
1376 854 4134 5433
212 1129 631 3877
198 456 1603 3216
623 747 550 1499
1103 482 4007 330
312 987 4007 2175
1431 123 3043 1582
1412 1249 5187 5055
903 1337 3049 1186
1031 597 4940 5232
209 342 2317 2642
818 201 4213 4637
1158 461 4515 5232
182 986 2689 4401
354 1212 3414 5012
637 877 2864 2323
1231 644 5232 4988
1212 839 1042 2864
389 599 3227 2226
1299 55 1042 2323
1360 1267 257 4489
854 698 2342 568
45 697 4568 2390
315 430 3414 3049
1342 1139 4213 1453
927 1104 2160 3007
694 896 3595 739
452 1012 972 2209
605 200 2175 2390
541 767 2310 3119
1058 351 4108 3571
651 960 4568 2317
844 1091 5187 3975
268 174 593 4940
858 1288 1582 3095
966 871 1672 921
647 1003 2517 457
22 855 5232 1978
247 963 5641 702
293 933 4971 2390
1351 1206 2629 3216
562 389 897 631
1279 684 5641 4837
107 634 3877 5187
838 486 2323 5055
364 971 2642 5075
883 504 1672 5255
906 1144 3007 2517
1153 694 4637 897
499 1149 3801 972
159 87 4988 1491
119 622 1844 4940
799 858 457 4489
1409 601 330 2706
959 1155 631 5187
250 413 3227 897
594 585 5641 1455
598 937 2933 2209
1009 1003 1733 4007
213 604 3776 897
772 727 4837 5012
594 1001 550 1649
139 694 2689 1491
965 430 2879 4515
755 1114 4401 4515
1286 818 3776 4401
686 171 1491 5255
1041 757 568 3877
59 411 2175 1042
370 198 2933 3801
734 1032 4940 4823
1328 1152 739 5012
1339 687 3095 1844
864 946 1455 3705
51 363 1460 3595
1337 914 4213 3877
583 1201 3007 4973
57 130 1042 5232
1428 906 4837 1099
230 499 2226 5055
932 1175 1099 3847
839 781 3877 5255
318 1243 4401 3043
1397 1206 4007 4134
68 696 2706 309
617 251 2933 618
238 1253 4988 568
1201 639 2160 309
1048 305 593 5012
1358 910 5012 2317
941 1165 1453 3975
594 18 4940 5057
845 328 457 593
17 430 4515 2879
975 845 4823 897
1401 909 4401 4213
666 602 1844 1499
305 1174 1453 3074
624 681 5075 1042
316 594 1491 3888
784 1140 5055 1491
1322 869 3847 739
249 874 2933 4637
346 337 4637 4750
909 304 3705 3049
678 1538 1460 3571
861 778 1491 4973
475 614 3119 3847
761 317 2175 5641
522 599 3007 3571
1173 1245 3379 4108
894 132 3216 1460
396 264 1582 972
1311 1134 3043 1649
715 145 309 2933
1301 838 5012 4489
1062 230 5433 1499
1166 1066 1491 2642
188 312 1649 4568
362 127 593 1499
38 1320 3888 3705
284 609 2706 3095
128 705 1187 2642
414 504 1672 5255
1031 730 1603 4750
75 108 702 1582
131 940 4213 3595
552 1228 2160 1338
1261 1229 3975 5057
384 680 1672 3331
735 1226 4134 1649
346 1027 4007 2541
667 319 2706 2642
252 591 5641 309
886 989 1187 309
600 956 3043 1042
72 639 1491 3877
162 1009 2160 3705
1219 901 3571 257
996 184 4988 2837
142 468 5255 3331
886 1445 3595 3414
187 1228 1649 1187
937 826 2933 4750
255 1015 2864 1338
168 384 4213 2955
409 261 4568 4971
729 1469 1455 4637
597 1231 3847 4007
202 599 5641 3331
1346 304 1453 4568
1060 591 1978 4213
940 235 3705 1403
1242 87 4401 3595
684 822 4213 921
298 886 3379 2342
30 855 2323 2837
13 513 2390 4637
542 1116 3074 5433
126 449 2175 3095
335 752 5433 4401
463 1040 3049 5187
729 1293 1186 4823
488 589 4007 1455
1177 261 897 3975
674 689 1186 3847
1148 1235 3571 593
1102 305 4213 2226
827 1068 4823 3095
1158 757 1733 3379
596 503 1582 4515
467 159 5055 2517
88 897 2541 2837
1088 1189 1042 1338
1396 960 457 2642
1140 869 3847 739
487 27 1672 3379
1160 392 1042 4515
880 551 4988 3888
115 1198 1403 5057
635 434 2226 3705
652 743 2955 1187
1225 686 330 2310
287 967 739 5664
648 622 5055 2689
1298 402 2689 921
1093 205 1453 5012
65 1173 1672 4515
979 1237 2689 1455
56 462 1338 3414
47 67 4007 3595
1287 472 3331 2226
1231 761 3975 2390
608 425 2390 2706
1346 735 4971 4489
48 1464 3888 1582
395 422 3595 330
527 575 3331 5057
107 484 5641 5012
1274 803 2955 5057
865 933 5055 1460
918 667 257 5075
332 1224 1733 3007
506 208 3649 2837
1090 822 3571 1042
344 816 2310 3414
976 1168 4515 2933
594 709 5012 4750
1413 324 3007 3049
251 695 3649 2933
1029 414 330 3649
