200 8000 5000
131 532 560 3614
351 891 3614 1094
880 938 1094 2308
1231 89 2308 3223
1220 913 3223 3555
966 703 3555 5129
916 662 5129 573
1198 1258 573 2797
847 1415 2797 864
1078 684 864 2578
1434 633 2578 2769
822 896 2769 3457
1345 1080 3457 2474
1402 772 2474 2968
417 780 2968 304
480 1165 304 2807
1314 834 2807 4267
732 750 4267 287
985 483 287 4660
316 1171 4660 4762
1265 1306 4762 5048
668 753 5048 180
1423 787 180 814
1199 1225 814 3438
752 884 3438 412
1409 873 412 1019
25 1064 1019 2366
998 866 2366 3330
838 785 3330 3437
322 210 3437 1908
990 611 1908 3890
842 1204 3890 4103
673 305 4103 3003
303 607 3003 3250
633 1162 3250 1627
325 880 1627 3610
1141 774 3610 2679
109 304 2679 4952
1395 686 4952 707
548 396 707 596
1059 1281 596 1830
1389 933 1830 529
1370 370 529 4053
964 371 4053 4304
1352 752 4304 3497
219 639 3497 1409
5 836 1409 4164
1226 811 4164 2064
951 626 2064 1697
862 789 1697 176
1414 1359 176 3878
776 184 3878 3797
90 209 3797 356
1398 1236 356 1745
407 583 1745 1535
714 703 1535 768
1239 923 768 5516
432 380 5516 954
272 862 954 4098
510 906 4098 3253
755 795 3253 5614
1135 1047 5614 5041
1352 1031 5041 4409
1300 1028 4409 5669
1438 849 5669 5343
417 705 5343 336
186 1035 336 3580
1139 166 3580 5075
527 898 5075 2340
141 601 2340 1339
120 464 1339 5671
18 575 5671 4170
91 617 4170 1868
1362 1142 1868 1076
983 350 1076 5526
1315 103 5526 5366
142 1063 5366 2486
860 704 2486 3990
1101 978 3990 4482
1093 187 4482 1235
282 63 1235 4166
1075 1080 4166 2661
302 587 2661 5032
372 811 5032 4522
905 310 4522 4406
709 761 4406 3619
1086 794 3619 2343
577 1327 2343 1274
1142 996 1274 1625
1358 1303 1625 741
1087 1448 741 1580
329 582 1580 1540
925 1251 1540 2834
871 785 2834 289
189 652 289 4261
923 476 4261 2478
1288 930 2478 3377
247 551 3377 2141
495 697 2141 1853
247 683 1853 17
261 212 17 3481
487 477 3481 1824
266 488 1824 4187
352 693 4187 5349
409 447 5349 5652
1249 324 5652 1065
227 765 1065 2067
423 150 2067 2438
669 573 2438 5056
1200 561 5056 850
77 605 850 725
823 813 725 3522
835 1426 3522 563
251 478 563 2809
1195 275 2809 5097
173 1284 5097 2021
960 1246 2021 729
713 864 729 1740
750 878 1740 3295
534 467 3295 5106
503 609 5106 5233
269 62 5233 4875
863 759 4875 946
1429 1189 946 2368
1140 549 2368 5164
925 669 5164 5208
912 115 5208 1898
860 690 1898 2841
1044 369 2841 4401
1279 55 4401 3751
980 885 3751 5610
1305 170 5610 2182
326 315 2182 2627
1246 631 2627 1149
217 270 1149 4584
608 1063 4584 5331
927 380 5331 2215
316 1303 2215 951
1031 244 951 2070
28 428 2070 1571
76 930 1571 1801
980 1041 1801 2795
851 851 2795 2145
784 298 2145 5116
1231 1201 5116 5605
478 399 5605 1542
957 668 1542 1437
752 821 1437 3386
1191 739 3386 334
139 347 334 4733
1286 696 4733 2792
126 286 2792 5568
408 846 5568 3908
582 63 3908 791
115 627 791 4988
1420 1162 4988 425
1379 1358 425 3051
900 656 3051 3938
840 686 3938 318
983 794 318 1752
739 704 1752 4741
380 234 4741 2981
849 1166 2981 987
938 834 987 4420
58 1050 4420 4130
938 859 4130 5571
106 454 5571 4051
857 617 4051 645
1127 368 645 3574
1137 847 3574 3173
757 1031 3173 4968
1075 814 4968 2428
678 970 2428 269
40 906 269 1414
419 1018 1414 1844
469 934 1844 2926
518 382 2926 8
1248 393 8 3282
1093 634 3282 3364
141 1177 3364 343
1387 978 343 2315
940 175 2315 3208
268 164 3208 2963
227 652 2963 3275
1394 1480 3275 3999
255 835 3999 5003
207 478 5003 752
1205 683 752 4102
1155 1286 4102 293
1048 23 293 3823
748 689 3823 2907
327 815 2907 5034
1300 1413 5034 1104
29 1455 1104 3894
1265 783 3894 3754
1231 458 3754 5234
840 381 5234 817
1371 1123 817 2105
648 979 2105 2932
527 1287 2932 560
162 412 1571 5208
454 841 3751 3938
262 1314 1235 5056
82 1302 356 741
309 493 5343 1339
517 389 1580 5571
1437 720 5331 3614
1169 81 2486 5106
960 85 5003 412
169 51 287 2438
7 1002 5652 3614
1197 318 1571 5610
26 881 1019 2769
437 754 5106 4267
859 867 1094 3250
225 492 5349 5208
619 772 2474 2968
1339 654 4875 1580
317 596 3878 1908
537 432 2182 560
258 599 356 954
30 1145 17 2105
321 1514 864 3438
530 588 5366 2478
285 1020 3999 1853
723 919 4420 4988
169 1039 5041 5106
813 465 563 529
1115 1092 4522 2834
475 1114 4166 412
733 588 2070 3990
483 661 334 3751
179 428 2070 1571
1396 1293 2834 2807
1207 872 4409 3908
1362 183 4762 729
682 590 1535 5610
604 876 5652 4304
729 292 4733 4401
835 665 412 2981
705 1136 17 356
348 589 5003 2308
960 67 2340 2795
1256 885 4401 1627
1289 619 4406 3878
478 936 1540 814
490 813 5129 4482
374 1000 1274 5331
1215 647 4420 3619
578 197 2627 4409
311 1052 1235 987
674 833 1065 3481
257 613 5571 4968
564 817 5571 17
