30 200 200
819 578 5208 1336
476 237 1336 4665
843 699 4665 990
624 913 990 4339
1406 452 4339 2017
922 23 2017 3465
473 548 3465 5479
611 669 5479 3885
1054 548 3885 5447
578 545 5447 3893
298 690 3893 1728
927 75 1728 4918
679 534 4918 1553
648 1244 1553 2332
252 299 2332 746
1031 543 746 217
75 1090 217 2652
941 1055 2652 3337
315 738 3337 3291
464 222 3291 4651
32 785 4651 1542
526 658 1542 1978
18 1407 1978 1726
22 206 1726 1739
865 695 1739 3316
9 21 3316 775
390 552 775 284
380 335 284 1155
1065 1102 1155 1367
586 980 1367 5208
934 946 1367 3316
900 966 990 3291
1383 517 2652 2017
113 714 1542 2017
633 225 3893 1739
708 817 1726 1155
1045 509 775 1553
1063 1258 1367 1978
1073 388 1542 5447
570 1258 1978 1367
1015 545 5208 1542
517 598 4339 1739
492 116 775 1728
917 946 1367 3316
582 1370 2332 2017
1022 1036 2652 4651
465 499 1155 2652
179 1252 1726 217
758 1102 1155 1367
150 674 1553 1542
1221 1244 2332 1553
367 226 5447 2652
1390 1460 217 2017
1025 934 4651 775
71 635 3885 3893
91 314 4918 1155
460 763 2332 3337
26 926 1542 990
1436 55 1553 1336
759 526 1553 5479
23 674 1553 1542
32 874 775 1978
248 537 3316 1336
484 723 3465 1542
727 471 1728 1542
425 761 2332 3316
1215 548 3885 5447
78 1046 3337 1726
829 811 5479 1155
1406 137 3316 1728
939 456 4339 2652
572 1318 3291 2017
565 1374 1978 1336
226 827 1978 5479
90 1241 775 3337
865 398 990 3316
567 409 5208 990
1100 553 746 1542
948 464 990 1155
741 1068 746 1726
758 1064 990 4651
524 286 1553 5447
405 862 5479 1726
352 1020 4665 746
1262 634 3893 4918
327 794 3893 5479
390 741 3465 3885
344 462 3316 746
214 337 746 1728
1438 1246 3316 3337
70 832 217 1542
709 219 2652 775
253 537 1336 3316
388 636 3885 3291
32 858 1978 5208
40 1325 217 4665
580 658 3465 5208
1427 308 1155 3316
1348 642 4918 4665
916 813 2652 3291
1410 811 5479 1155
1016 570 2652 746
1364 178 1155 3885
393 880 1728 217
1083 673 4665 5208
388 981 775 217
868 670 1155 1978
1396 545 5208 1542
318 1246 3337 3316
1208 772 3885 4339
486 255 2652 1728
223 499 2652 1155
1071 957 2017 284
299 706 3291 5208
1011 206 1726 1739
277 705 3337 1542
922 880 217 1728
455 524 5479 4918
660 1407 1726 1978
185 107 1728 5208
338 255 1728 2652
7 437 5447 775
956 1189 1978 4665
558 145 2017 1553
643 928 4339 1155
986 226 2652 5447
1059 946 3316 1367
74 826 1739 1728
606 543 2652 990
663 319 1542 4339
1002 233 1739 1553
881 746 4339 3893
269 675 775 4339
827 493 1739 5447
1342 835 4651 3885
760 325 3885 2652
820 913 990 4339
703 776 4339 1367
1277 1269 3337 3885
1363 832 217 1542
828 55 4651 217
1078 642 4665 4918
1014 673 2017 5208
1414 598 4339 1739
312 945 1553 746
891 817 1155 1726
1345 1269 3885 3337
226 1395 3893 1978
617 318 1739 4665
158 287 990 3893
196 961 217 5208
1250 598 4339 1739
1311 946 3316 1367
367 745 3291 3316
532 775 746 5447
97 1379 3291 1367
767 794 3893 5479
849 1244 1155 3337
33 469 3465 4339
494 862 1726 5479
1326 206 1739 1726
781 1179 4665 3291
922 322 1726 3465
580 740 2332 775
581 471 1542 1728
700 322 3465 1726
257 571 2017 990
924 674 1726 284
958 691 5208 1726
1324 422 746 5208
1210 775 5447 746
423 607 4918 284
1218 571 2017 990
358 471 1728 1542
811 512 1739 990
71 590 1978 3337
200 682 1155 1542
1330 194 1542 5479
1413 734 746 5479
866 1359 2017 1978
281 493 5447 1739
698 659 4918 3465
1354 895 5479 990
1315 509 2652 3465
680 422 746 5208
1298 736 3885 1726
22 619 3291 1542
809 746 3893 4339
388 683 4918 3291
552 462 746 3316
246 116 1728 775
1234 422 746 5208
899 350 746 3885
815 745 3291 3316
1228 717 746 990
163 746 2017 1728
64 322 3465 1726
750 308 1155 3316
649 1132 284 5479
336 854 2652 2332
1135 1367 3337
1375 3465 3316
1225 4665 3893
463 4665 1978
837 1367 3885
1000 4339 1728
936 3893 4339
246 5208 1542
768 284 4651
976 2332 2017
671 3465 746
479 4339 3893
136 3465 4918
471 5208 4339
1229 1978 3316
1143 1728 5208
967 2332 4665
891 4918 3316
191 1728 1978
277 1367 3885
821 2017 1726
1172 1336 3316
1308 5479 3885
340 5208 4339
1 1978 5208
1144 3316 1978
544 5447 217
1435 1978 1728
58 990 775
547 1739 2652
750 1336 2332
1286 4918 746
625 2332 775
837 3465 1978
838 4651 2332
415 217 3465
959 3316 746
826 2652 3337
884 4651 3465
1431 2332 1726
614 3885 5479
332 4651 2332
680 2017 1367
702 1978 2017
1137 3291 775
1405 2652 4918
272 4918 1367
973 990 2652
1309 1728 1367
1033 3337 3465
1392 1336 2332
867 746 4339
1188 5447 1336
1013 1367 1726
401 4339 4918
975 1726 1978
525 3893 775
1014 2017 1978
443 3337 990
51 5479 1542
425 4651 1726
1022 990 5208
1413 1978 4665
529 3893 1726
773 3316 284
105 5479 4918
124 2332 746
476 1367 4651
419 746 3885
583 1336 5479
958 1978 4651
590 1155 746
1252 5208 5479
616 3316 2652
695 2332 4918
1060 5208 1728
235 746 775
1245 3291 2652
615 5479 990
1222 1367 4339
1092 4918 775
177 4665 217
656 1978 217
1093 5479 4339
678 1726 3337
1251 4651 3337
1037 5208 775
177 3316 5479
1252 4665 746
386 2652 3465
254 4665 3893
1283 3465 4918
1342 775 5447
868 990 1553
106 775 1739
1229 5447 4339
827 5447 1978
876 2017 5208
688 1367 5479
946 5447 1553
1200 1728 1726
1043 5447 284
1345 2017 1726
1380 4651 284
826 3337 746
261 775 1739
1423 3316 4339
545 4339 1336
94 3893 1978
1389 5208 1336
444 217 4339
1431 5447 2332
217 1739 1728
1376 3291 1336
1331 4918 1728
1138 1155 5479
542 1728 3316
325 2652 1542
17 2332 4665
821 3291 4665
1095 4651 1728
1349 746 4651
573 1155 2332
364 2017 775
1336 1336 3885
585 1553 1155
782 1728 3893
1314 2017 3291
176 1978 990
680 1336 2332
1021 4918 2017
703 1155 4651
898 3291 3337
1254 1978 217
144 3291 2652
1402 2017 1978
714 4918 3316
943 746 1978
939 1336 2332
923 3291 3885
590 5447 4651
512 990 3893
681 217 5208
929 3465 1978
136 5208 1728
691 1739 3885
1106 5447 1553
101 3316 4651
1007 1336 1542
1135 3893 3316
158 3291 3885
670 2332 3337
1351 1726 3337
712 1367 990
849 1978 2332
1412 3885 746
1078 2652 1155
1051 1553 3337
619 2332 5447
14 217 1728
292 990 1978
723 1728 5479
945 1978 1542
218 1542 1739
939 1553 1336
911 1978 217
421 1336 3465
33 3465 217
652 4918 2652
170 1155 1739
109 1553 2017
401 217 3291
693 5479 2017
188 1739 2017
1372 3316 2332
804 990 3316
1132 1336 775
575 5447 1367
655 775 1553
1069 217 4918
407 3465 2652
906 3337 990
783 1367 4665
878 1739 3337
472 3316 2017
849 2652 5208
208 990 1336
1039 775 3893
1083 1726 1155
97 3337 2332
1254 5208 1553
829 2652 1336
1003 746 1978
182 1728 2652
577 3291 4918
98 4339 1542
31 2017 3316
1024 990 1553
1112 1726 1155
309 775 217
